hand,ev,raise,limp,fold
AA,6.15,100.0,0.0,0.0
AKs,2.99,96.87,3.13,0.0
AQs,2.67,95.08,4.92,0.0
AJs,2.34,97.73,2.27,0.0
ATs,2.05,59.76,40.24,0.0
A9s,1.61,66.32,33.68,0.0
A8s,1.36,97.51,2.49,0.0
A7s,1.14,58.71,41.29,0.0
A6s,0.99,48.25,51.75,0.0
A5s,1.0,28.77,71.23,0.0
A4s,0.94,65.85,34.15,0.0
A3s,0.89,78.43,21.57,0.0
A2s,0.84,16.01,83.99,0.0
AKo,2.61,80.14,19.86,0.0
KK,5.3,98.9,1.1,0.0
KQs,1.59,84.09,15.91,0.0
KJs,1.37,65.16,34.84,0.0
KTs,1.23,87.27,12.73,0.0
K9s,0.93,59.6,40.4,0.0
K8s,0.74,35.73,64.27,0.0
K7s,0.67,59.62,40.38,0.0
K6s,0.61,67.34,32.66,0.0
K5s,0.56,69.98,30.02,0.0
K4s,0.51,24.05,75.95,0.0
K3s,0.48,11.33,88.67,0.0
K2s,0.45,3.1,96.9,0.0
AQo,2.26,68.13,31.87,0.0
KQo,1.1,43.9,56.1,0.0
QQ,4.61,74.75,25.25,0.0
QJs,1.22,39.83,60.17,0.0
QTs,1.1,22.56,77.44,0.0
Q9s,0.82,27.7,72.3,0.0
Q8s,0.66,53.17,46.83,0.0
Q7s,0.52,46.78,53.22,0.0
Q6s,0.48,36.94,63.06,0.0
Q5s,0.44,14.86,85.14,0.0
Q4s,0.4,23.98,76.02,0.0
Q3s,0.37,11.76,88.24,0.0
Q2s,0.35,20.58,79.42,0.0
AJo,1.91,45.97,54.03,0.0
KJo,0.87,59.77,40.23,0.0
QJo,0.76,67.99,32.01,0.0
JJ,4.04,65.26,34.74,0.0
JTs,1.06,56.5,43.5,0.0
J9s,0.78,31.57,68.43,0.0
J8s,0.62,42.21,57.79,0.0
J7s,0.47,6.36,93.64,0.0
J6s,0.38,26.11,73.89,0.0
J5s,0.34,29.12,70.88,0.0
J4s,0.3,29.72,70.28,0.0
J3s,0.28,28.61,71.39,0.0
J2s,0.26,52.94,47.06,0.0
ATo,1.6,40.2,59.8,0.0
KTo,0.74,52.91,47.09,0.0
QTo,0.66,63.76,36.24,0.0
JTo,0.62,54.19,45.81,0.0
TT,3.55,71.6,28.4,0.0
T9s,0.81,52.27,47.73,0.0
T8s,0.63,59.2,40.8,0.0
T7s,0.48,40.15,59.85,0.0
T6s,0.37,18.91,81.09,0.0
T5s,0.27,49.56,50.44,0.0
T4s,0.25,47.75,52.25,0.0
T3s,0.23,86.0,14.0,0.0
T2s,0.21,100.0,0.0,0.0
A9o,1.12,29.58,70.42,0.0
K9o,0.55,59.16,40.84,0.0
Q9o,0.47,61.33,38.67,0.0
J9o,0.44,52.67,47.33,0.0
T9o,0.45,49.36,50.64,0.0
99,3.03,73.19,26.81,0.0
98s,0.65,28.93,71.07,0.0
97s,0.51,21.17,78.83,0.0
96s,0.39,31.68,68.32,0.0
95s,0.28,50.92,49.08,0.0
94s,0.2,100.0,0.0,0.0
93s,0.19,99.99,0.01,0.0
92s,0.17,99.89,0.11,0.0
A8o,0.86,19.56,80.44,0.0
K8o,0.41,73.74,26.26,0.0
Q8o,0.35,59.52,40.48,0.0
J8o,0.32,63.59,36.41,0.0
T8o,0.32,46.75,53.25,0.0
98o,0.33,55.12,44.88,0.0
88,2.59,70.82,29.18,0.0
87s,0.54,59.8,40.2,0.0
86s,0.43,20.53,79.47,0.0
85s,0.32,68.26,31.74,0.0
84s,0.22,99.88,0.12,0.0
83s,0.15,81.32,18.68,0.0
82s,0.14,77.12,22.88,0.0
A7o,0.63,50.25,49.75,0.0
K7o,0.35,52.85,47.15,0.0
Q7o,0.24,70.87,29.13,0.0
J7o,0.22,76.33,23.67,0.0
T7o,0.22,69.29,30.71,0.0
97o,0.23,63.55,36.45,0.0
87o,0.26,39.01,60.99,0.0
77,2.18,57.76,42.24,0.0
76s,0.46,41.22,58.78,0.0
75s,0.36,19.69,80.31,0.0
74s,0.26,85.42,14.58,0.0
73s,0.16,99.95,0.05,0.0
72s,0.1,45.38,54.62,0.0
A6o,0.55,83.54,16.46,0.0
K6o,0.3,50.03,49.97,0.0
Q6o,0.21,64.21,35.79,0.0
J6o,0.15,38.57,61.43,0.0
T6o,0.15,46.21,53.79,0.0
96o,0.16,53.18,46.82,0.0
86o,0.19,48.59,51.41,0.0
76o,0.2,43.45,56.55,0.0
66,1.8,60.73,39.27,0.0
65s,0.4,57.11,42.89,0.0
64s,0.31,37.02,62.98,0.0
63s,0.21,73.83,26.17,0.0
62s,0.13,67.2,32.8,0.0
A5o,0.59,77.49,22.51,0.0
K5o,0.26,63.52,36.48,0.0
Q5o,0.18,66.54,33.46,0.0
J5o,0.12,38.18,61.82,0.0
T5o,0.08,11.13,88.87,0.0
95o,0.09,31.08,68.92,0.0
85o,0.11,19.93,80.07,0.0
75o,0.13,41.51,58.49,0.0
65o,0.15,50.42,49.58,0.0
55,1.44,62.34,37.66,0.0
54s,0.36,41.57,58.43,0.0
53s,0.26,30.03,69.97,0.0
52s,0.17,64.85,35.15,0.0
A4o,0.53,46.26,53.74,0.0
K4o,0.22,55.53,44.47,0.0
Q4o,0.15,45.43,54.57,0.0
J4o,0.09,21.88,78.12,0.0
T4o,0.05,25.86,74.14,0.0
94o,0.02,0.0,100.0,0.0
84o,0.05,0.0,100.0,0.0
74o,0.06,0.04,99.96,0.0
64o,0.09,35.19,64.81,0.0
54o,0.11,54.46,45.54,0.0
44,1.09,54.47,45.53,0.0
43s,0.22,52.68,47.32,0.0
42s,0.15,56.4,43.6,0.0
A3o,0.49,27.94,72.06,0.0
K3o,0.19,35.6,64.4,0.0
Q3o,0.12,9.63,90.37,0.0
J3o,0.06,20.91,79.09,0.0
T3o,0.03,3.1,96.9,0.0
93o,0.01,0.0,99.92,0.08
83o,0.0,0.0,14.69,85.31
73o,0.0,0.0,97.18,2.82
63o,0.03,0.0,100.0,0.0
53o,0.05,37.58,62.42,0.0
43o,0.01,20.5,79.47,0.03
33,0.78,46.85,53.15,0.0
32s,0.12,41.94,58.06,0.0
A2o,0.44,18.71,81.29,0.0
K2o,0.17,2.52,97.48,0.0
Q2o,0.1,0.0,100.0,0.0
J2o,0.05,0.0,100.0,0.0
T2o,0.02,0.0,99.99,0.01
92o,0.0,0.0,71.83,28.17
82o,0.0,0.0,5.22,94.78
72o,0.0,0.0,0.0,100.0
62o,0.0,0.0,0.0,100.0
52o,0.0,0.0,77.8,22.2
42o,0.0,0.0,0.0,100.0
32o,0.0,0.0,0.0,100.0
22,0.48,37.79,62.21,0.0
