hand,ev,allin,raise_sm,raise_lg,check
AA,5.13,0.0,0.0,100.0,0.0
AKs,3.03,0.0,0.0,100.0,0.0
AQs,2.84,0.0,0.0,100.0,0.0
AJs,2.59,0.0,8.96,91.04,0.0
ATs,2.34,0.0,44.87,55.13,0.0
A9s,1.97,0.0,0.07,99.93,0.0
A8s,1.74,0.0,0.0,100.0,0.0
A7s,1.58,0.0,0.0,100.0,0.0
A6s,1.45,0.0,0.43,41.69,57.88
A5s,1.48,0.0,0.0,50.62,49.38
A4s,1.43,0.0,1.38,24.11,74.51
A3s,1.38,0.0,0.0,13.05,86.95
A2s,1.34,0.0,0.0,46.44,53.56
AKo,2.74,0.0,99.49,0.51,0.0
KK,4.59,0.0,0.0,100.0,0.0
KQs,1.9,0.0,0.08,99.92,0.0
KJs,1.71,0.0,2.54,97.44,0.02
KTs,1.61,0.0,5.37,58.18,36.45
K9s,1.43,0.0,0.0,38.35,61.65
K8s,1.29,0.0,0.0,15.39,84.61
K7s,1.24,0.0,0.0,0.0,100.0
K6s,1.2,0.0,0.0,0.0,100.0
K5s,1.15,0.0,0.0,0.0,100.0
K4s,1.11,0.0,0.0,0.0,100.0
K3s,1.08,0.0,0.0,0.0,100.0
K2s,1.05,0.0,0.0,0.0,100.0
AQo,2.59,0.0,100.0,0.0,0.0
KQo,1.62,0.0,99.98,0.02,0.0
QQ,4.14,0.0,0.0,100.0,0.0
QJs,1.61,0.0,83.5,6.74,9.76
QTs,1.53,0.0,26.48,3.15,70.37
Q9s,1.35,0.0,0.0,4.08,95.92
Q8s,1.22,0.0,0.0,0.68,99.32
Q7s,1.1,0.0,0.0,0.01,99.99
Q6s,1.07,0.0,0.0,0.0,100.0
Q5s,1.03,0.0,0.0,0.0,100.0
Q4s,1.0,0.0,0.0,0.0,100.0
Q3s,0.96,0.0,0.0,0.0,100.0
Q2s,0.93,0.0,0.0,0.24,99.76
AJo,2.37,0.01,99.99,0.0,0.0
KJo,1.42,0.0,27.26,63.81,8.93
QJo,1.35,0.0,0.01,65.98,34.01
JJ,3.69,0.0,0.03,99.97,0.0
JTs,1.5,0.0,85.66,14.3,0.04
J9s,1.31,0.0,0.02,22.75,77.23
J8s,1.18,0.0,0.0,6.53,93.47
J7s,1.06,0.0,0.0,4.68,95.32
J6s,0.97,0.0,0.0,0.01,99.99
J5s,0.94,0.13,0.0,0.0,99.87
J4s,0.9,0.11,0.0,0.0,99.89
J3s,0.87,0.0,0.0,1.67,98.33
J2s,0.84,0.0,0.0,5.36,94.64
ATo,2.11,61.42,38.58,0.0,0.0
KTo,1.31,0.0,3.97,53.33,42.7
QTo,1.25,0.0,0.0,48.91,51.09
JTo,1.23,0.0,0.01,30.35,69.64
TT,3.3,0.0,41.34,58.66,0.0
T9s,1.31,0.0,97.01,2.91,0.08
T8s,1.17,0.0,17.21,24.77,58.02
T7s,1.06,0.0,9.77,15.97,74.26
T6s,0.96,0.08,0.0,16.12,83.8
T5s,0.86,0.0,0.0,9.87,90.13
T4s,0.83,0.0,0.0,20.7,79.29
T3s,0.8,0.0,0.0,39.44,60.56
T2s,0.78,0.0,0.0,53.15,46.85
A9o,1.74,100.0,0.0,0.0,0.0
K9o,1.13,0.0,0.0,67.52,32.48
Q9o,1.07,0.0,0.0,50.56,49.44
J9o,1.05,0.0,0.0,36.3,63.7
T9o,1.06,0.0,0.0,32.77,67.23
99,2.89,0.0,65.74,34.26,0.0
98s,1.17,0.0,48.2,4.75,47.05
97s,1.07,0.0,29.86,13.68,56.46
96s,0.97,0.17,0.72,35.61,63.5
95s,0.86,0.0,0.0,57.91,42.09
94s,0.77,0.0,0.0,0.05,99.95
93s,0.75,0.0,0.0,16.64,83.36
92s,0.73,0.0,0.0,48.92,51.08
A8o,1.47,100.0,0.0,0.0,0.0
K8o,0.99,0.0,6.87,56.23,36.9
Q8o,0.93,0.0,0.0,41.9,58.1
J8o,0.91,0.0,0.0,29.02,70.98
T8o,0.92,0.0,0.0,25.75,74.25
