card1,card2,card3,suit_texture,rank_texture,high_card_class,gap_high_mid,gap_mid_low,has_straight_potential,weight
2s,2h,2d,rainbow,trips,low,0,0,true,4
3s,2s,2h,two_tone,paired,low,0,0,true,12
3s,2h,2d,rainbow,paired,low,0,0,true,12
3s,3h,2s,two_tone,paired,low,0,0,true,12
3s,3h,2d,rainbow,paired,low,0,0,true,12
3s,3h,3d,rainbow,trips,low,0,0,true,4
4s,2s,2h,two_tone,paired,low,1,0,true,12
4s,2h,2d,rainbow,paired,low,1,0,true,12
4s,3s,2s,monotone,unpaired,low,0,0,true,4
4s,3s,2h,two_tone,unpaired,low,0,0,true,12
4s,3s,3h,two_tone,paired,low,0,0,true,12
4s,3h,2s,two_tone,unpaired,low,0,0,true,12
4s,3h,2d,rainbow,unpaired,low,0,0,true,24
4s,3h,3d,rainbow,paired,low,0,0,true,12
4s,4h,2s,two_tone,paired,low,1,0,true,12
4s,4h,2d,rainbow,paired,low,1,0,true,12
4s,4h,3s,two_tone,paired,low,0,0,true,12
4s,4h,3d,rainbow,paired,low,0,0,true,12
4s,4h,4d,rainbow,trips,low,0,0,true,4
4h,3s,2s,two_tone,unpaired,low,0,0,true,12
5s,2s,2h,two_tone,paired,low,2,0,true,12
5s,2h,2d,rainbow,paired,low,2,0,true,12
5s,3s,2s,monotone,unpaired,low,1,0,true,4
5s,3s,2h,two_tone,unpaired,low,1,0,true,12
5s,3s,3h,two_tone,paired,low,1,0,true,12
5s,3h,2s,two_tone,unpaired,low,1,0,true,12
5s,3h,2d,rainbow,unpaired,low,1,0,true,24
5s,3h,3d,rainbow,paired,low,1,0,true,12
5s,4s,2s,monotone,unpaired,low,0,1,true,4
5s,4s,2h,two_tone,unpaired,low,0,1,true,12
5s,4s,3s,monotone,unpaired,low,0,0,true,4
5s,4s,3h,two_tone,unpaired,low,0,0,true,12
5s,4s,4h,two_tone,paired,low,0,0,true,12
5s,4h,2s,two_tone,unpaired,low,0,1,true,12
5s,4h,2d,rainbow,unpaired,low,0,1,true,24
5s,4h,3s,two_tone,unpaired,low,0,0,true,12
5s,4h,3d,rainbow,unpaired,low,0,0,true,24
5s,4h,4d,rainbow,paired,low,0,0,true,12
5s,5h,2s,two_tone,paired,low,2,0,true,12
5s,5h,2d,rainbow,paired,low,2,0,true,12
5s,5h,3s,two_tone,paired,low,1,0,true,12
5s,5h,3d,rainbow,paired,low,1,0,true,12
5s,5h,4s,two_tone,paired,low,0,0,true,12
5s,5h,4d,rainbow,paired,low,0,0,true,12
5s,5h,5d,rainbow,trips,low,0,0,true,4
