hand,ev,allin,3bet_sm,3bet_lg,call,fold
AA,7.5,0.0,0.0,100.0,0.0,0.0
AKs,3.73,0.0,0.0,100.0,0.0,0.0
AQs,3.11,0.0,59.55,40.45,0.0,0.0
AJs,2.65,0.0,47.08,52.92,0.0,0.0
ATs,2.32,0.0,60.52,39.48,0.0,0.0
A9s,1.83,0.04,0.0,99.96,0.0,0.0
A8s,1.61,0.0,0.0,60.26,39.74,0.0
A7s,1.45,0.0,0.0,0.0,100.0,0.0
A6s,1.32,0.0,0.0,0.0,100.0,0.0
A5s,1.38,0.0,0.0,0.0,100.0,0.0
A4s,1.3,0.0,0.0,0.0,100.0,0.0
A3s,1.24,0.0,0.0,0.0,100.0,0.0
A2s,1.17,0.0,0.0,0.0,100.0,0.0
AKo,3.37,0.0,100.0,0.0,0.0,0.0
KK,6.15,0.0,0.0,100.0,0.0,0.0
KQs,1.88,0.0,32.71,22.06,45.22,0.0
KJs,1.66,0.0,0.01,26.19,73.8,0.0
KTs,1.51,0.0,0.0,0.0,100.0,0.0
K9s,1.2,0.0,0.0,0.0,100.0,0.0
K8s,0.96,0.0,0.0,0.0,100.0,0.0
K7s,0.86,0.0,0.0,0.0,100.0,0.0
K6s,0.78,0.0,0.0,0.0,100.0,0.0
K5s,0.73,0.0,0.0,0.0,100.0,0.0
K4s,0.68,0.0,0.0,0.0,100.0,0.0
K3s,0.65,0.0,0.0,0.0,100.0,0.0
K2s,0.63,0.0,0.0,0.0,100.0,0.0
AQo,2.74,28.38,71.62,0.0,0.0,0.0
KQo,1.42,0.0,88.22,11.71,0.07,0.0
QQ,5.12,0.0,4.87,95.13,0.0,0.0
QJs,1.44,0.0,0.02,0.0,99.98,0.0
QTs,1.33,0.0,1.37,0.0,98.63,0.0
Q9s,1.04,0.0,0.0,0.0,100.0,0.0
Q8s,0.82,0.0,0.0,0.0,100.0,0.0
Q7s,0.65,0.0,0.0,0.0,100.0,0.0
Q6s,0.59,0.01,0.0,0.0,99.99,0.0
Q5s,0.53,0.0,0.0,0.0,100.0,0.0
Q4s,0.51,0.0,0.0,0.0,100.0,0.0
Q3s,0.48,0.0,0.0,0.0,100.0,0.0
